premium,deductible,lifetime_cap,buffer_months,survival_rate,bankruptcy_rate,mean_premiums,mean_payouts,mean_claims,policies_with_claims_pct,mean_insurance_profit,median_insurance_profit,profitable_policies_pct,loss_ratio,mean_customer_benefit,customers_with_benefit_pct
1000,2000,1000000,3,96.2,3.8,26344.0,0.0,0.0,0.0,26344.0,26000.0,100.0,0.0,-26344.0,0.0
1000,2000,1000000,6,97.0,3.0,31268.0,0.0,0.0,0.0,31268.0,31000.0,100.0,0.0,-31268.0,0.0
1000,2000,1000000,12,97.6,2.4,30962.0,0.0,0.0,0.0,30962.0,31000.0,100.0,0.0,-30962.0,0.0
1000,5000,100000,0,96.6,3.4000000000000004,21314.0,0.0,0.0,0.0,21314.0,21000.0,100.0,0.0,-21314.0,0.0
1000,5000,100000,1,96.6,3.4000000000000004,23132.0,0.0,0.0,0.0,23132.0,23000.0,100.0,0.0,-23132.0,0.0
1000,5000,100000,3,96.2,3.8,26344.0,0.0,0.0,0.0,26344.0,26000.0,100.0,0.0,-26344.0,0.0
1000,5000,100000,6,97.0,3.0,31268.0,0.0,0.0,0.0,31268.0,31000.0,100.0,0.0,-31268.0,0.0
1000,5000,100000,12,97.6,2.4,30962.0,0.0,0.0,0.0,30962.0,31000.0,100.0,0.0,-30962.0,0.0
1000,5000,250000,0,96.6,3.4000000000000004,21314.0,0.0,0.0,0.0,21314.0,21000.0,100.0,0.0,-21314.0,0.0
1000,5000,250000,1,96.6,3.4000000000000004,23132.0,0.0,0.0,0.0,23132.0,23000.0,100.0,0.0,-23132.0,0.0
1000,5000,250000,3,96.2,3.8,26344.0,0.0,0.0,0.0,26344.0,26000.0,100.0,0.0,-26344.0,0.0
1000,5000,250000,6,97.0,3.0,31268.0,0.0,0.0,0.0,31268.0,31000.0,100.0,0.0,-31268.0,0.0
1000,5000,250000,12,97.6,2.4,30962.0,0.0,0.0,0.0,30962.0,31000.0,100.0,0.0,-30962.0,0.0
1000,5000,500000,0,96.6,3.4000000000000004,21314.0,0.0,0.0,0.0,21314.0,21000.0,100.0,0.0,-21314.0,0.0
1000,5000,500000,1,96.6,3.4000000000000004,23132.0,0.0,0.0,0.0,23132.0,23000.0,100.0,0.0,-23132.0,0.0
1000,5000,500000,3,96.2,3.8,26344.0,0.0,0.0,0.0,26344.0,26000.0,100.0,0.0,-26344.0,0.0
1000,5000,500000,6,97.0,3.0,31268.0,0.0,0.0,0.0,31268.0,31000.0,100.0,0.0,-31268.0,0.0
1000,5000,500000,12,97.6,2.4,30962.0,0.0,0.0,0.0,30962.0,31000.0,100.0,0.0,-30962.0,0.0
1000,5000,1000000,0,96.6,3.4000000000000004,21314.0,0.0,0.0,0.0,21314.0,21000.0,100.0,0.0,-21314.0,0.0
1000,5000,1000000,1,96.6,3.4000000000000004,23132.0,0.0,0.0,0.0,23132.0,23000.0,100.0,0.0,-23132.0,0.0
1000,5000,1000000,3,96.2,3.8,26344.0,0.0,0.0,0.0,26344.0,26000.0,100.0,0.0,-26344.0,0.0
1000,5000,1000000,6,97.0,3.0,31268.0,0.0,0.0,0.0,31268.0,31000.0,100.0,0.0,-31268.0,0.0
1000,5000,1000000,12,97.6,2.4,30962.0,0.0,0.0,0.0,30962.0,31000.0,100.0,0.0,-30962.0,0.0
2000,500,100000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,500,100000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,500,100000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,500,100000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,500,100000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,500,250000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,500,250000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,500,250000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,500,250000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,500,250000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,500,500000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,500,500000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,500,500000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,500,500000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,500,500000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,500,1000000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,500,1000000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,500,1000000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,500,1000000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,500,1000000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,1000,100000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,1000,100000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,1000,100000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,1000,100000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,1000,100000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,1000,250000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,1000,250000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,1000,250000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,1000,250000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,1000,250000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,1000,500000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,1000,500000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,1000,500000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,1000,500000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,1000,500000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,1000,1000000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,1000,1000000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,1000,1000000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,1000,1000000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,1000,1000000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,2000,100000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,2000,100000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,2000,100000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,2000,100000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,2000,100000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,2000,250000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,2000,250000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,2000,250000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,2000,250000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,2000,250000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,2000,500000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,2000,500000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,2000,500000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,2000,500000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,2000,500000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,2000,1000000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,2000,1000000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,2000,1000000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,2000,1000000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,2000,1000000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,5000,100000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,5000,100000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,5000,100000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,5000,100000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,5000,100000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,5000,250000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,5000,250000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,5000,250000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,5000,250000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,5000,250000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,5000,500000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,5000,500000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,5000,500000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,5000,500000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,5000,500000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
2000,5000,1000000,0,95.6,4.3999999999999995,42568.0,0.0,0.0,0.0,42568.0,44000.0,100.0,0.0,-42568.0,0.0
2000,5000,1000000,1,96.39999999999999,3.5999999999999996,45168.0,0.0,0.0,0.0,45168.0,46000.0,100.0,0.0,-45168.0,0.0
2000,5000,1000000,3,96.6,3.4000000000000004,50868.0,0.0,0.0,0.0,50868.0,52000.0,100.0,0.0,-50868.0,0.0
2000,5000,1000000,6,96.8,3.2,62848.0,0.0,0.0,0.0,62848.0,64000.0,100.0,0.0,-62848.0,0.0
2000,5000,1000000,12,97.39999999999999,2.6,62268.0,0.0,0.0,0.0,62268.0,62000.0,100.0,0.0,-62268.0,0.0
3000,500,100000,0,95.6,4.3999999999999995,63426.0,0.0,0.0,0.0,63426.0,63000.0,100.0,0.0,-63426.0,0.0
3000,500,100000,1,95.8,4.2,67152.0,0.0,0.0,0.0,67152.0,69000.0,100.0,0.0,-67152.0,0.0
3000,500,100000,3,96.39999999999999,3.5999999999999996,75126.0,0.0,0.0,0.0,75126.0,75000.0,100.0,0.0,-75126.0,0.0
3000,500,100000,6,96.6,3.4000000000000004,94002.0,0.0,0.0,0.0,94002.0,96000.0,100.0,0.0,-94002.0,0.0
3000,500,100000,12,96.0,4.0,93798.0,0.0,0.0,0.0,93798.0,93000.0,100.0,0.0,-93798.0,0.0
3000,500,250000,0,95.6,4.3999999999999995,63426.0,0.0,0.0,0.0,63426.0,63000.0,100.0,0.0,-63426.0,0.0
3000,500,250000,1,95.8,4.2,67152.0,0.0,0.0,0.0,67152.0,69000.0,100.0,0.0,-67152.0,0.0
3000,500,250000,3,96.39999999999999,3.5999999999999996,75126.0,0.0,0.0,0.0,75126.0,75000.0,100.0,0.0,-75126.0,0.0
3000,500,250000,6,96.6,3.4000000000000004,94002.0,0.0,0.0,0.0,94002.0,96000.0,100.0,0.0,-94002.0,0.0
3000,500,250000,12,96.0,4.0,93798.0,0.0,0.0,0.0,93798.0,93000.0,100.0,0.0,-93798.0,0.0
3000,500,500000,0,95.6,4.3999999999999995,63426.0,0.0,0.0,0.0,63426.0,63000.0,100.0,0.0,-63426.0,0.0
3000,500,500000,1,95.8,4.2,67152.0,0.0,0.0,0.0,67152.0,69000.0,100.0,0.0,-67152.0,0.0
3000,500,500000,3,96.39999999999999,3.5999999999999996,75126.0,0.0,0.0,0.0,75126.0,75000.0,100.0,0.0,-75126.0,0.0
3000,500,500000,6,96.6,3.4000000000000004,94002.0,0.0,0.0,0.0,94002.0,96000.0,100.0,0.0,-94002.0,0.0
3000,500,500000,12,96.0,4.0,93798.0,0.0,0.0,0.0,93798.0,93000.0,100.0,0.0,-93798.0,0.0
3000,500,1000000,0,95.6,4.3999999999999995,63426.0,0.0,0.0,0.0,63426.0,63000.0,100.0,0.0,-63426.0,0.0
3000,500,1000000,1,95.8,4.2,67152.0,0.0,0.0,0.0,67152.0,69000.0,100.0,0.0,-67152.0,0.0
3000,500,1000000,3,96.39999999999999,3.5999999999999996,75126.0,0.0,0.0,0.0,75126.0,75000.0,100.0,0.0,-75126.0,0.0
3000,500,1000000,6,96.6,3.4000000000000004,94002.0,0.0,0.0,0.0,94002.0,96000.0,100.0,0.0,-94002.0,0.0
3000,500,1000000,12,96.0,4.0,93798.0,0.0,0.0,0.0,93798.0,93000.0,100.0,0.0,-93798.0,0.0
3000,1000,100000,0,95.6,4.3999999999999995,63426.0,0.0,0.0,0.0,63426.0,63000.0,100.0,0.0,-63426.0,0.0
3000,1000,100000,1,95.8,4.2,67152.0,0.0,0.0,0.0,67152.0,69000.0,100.0,0.0,-67152.0,0.0
3000,1000,100000,3,96.39999999999999,3.5999999999999996,75126.0,0.0,0.0,0.0,75126.0,75000.0,100.0,0.0,-75126.0,0.0
3000,1000,100000,6,96.6,3.4000000000000004,94002.0,0.0,0.0,0.0,94002.0,96000.0,100.0,0.0,-94002.0,0.0
3000,1000,100000,12,96.0,4.0,93798.0,0.0,0.0,0.0,93798.0,93000.0,100.0,0.0,-93798.0,0.0
3000,1000,250000,0,95.6,4.3999999999999995,63426.0,0.0,0.0,0.0,63426.0,63000.0,100.0,0.0,-63426.0,0.0
3000,1000,250000,1,95.8,4.2,67152.0,0.0,0.0,0.0,67152.0,69000.0,100.0,0.0,-67152.0,0.0
3000,1000,250000,3,96.39999999999999,3.5999999999999996,75126.0,0.0,0.0,0.0,75126.0,75000.0,100.0,0.0,-75126.0,0.0
